SN,Symbol,LTP,%Change,Open,High,Low,Volume,P.Close,Difference
133,MERO,685.00,-1.72,695.00,700.00,681.50,22817.00,697.00,-12.00
134,MFIL,505.20,-1.71,518.00,524.00,505.10,18407.00,514.00,-8.80
135,MHCL,362.00,-1.63,374.90,374.90,361.00,13808.00,368.00,-6.00
136,MHL,399.00,-0.23,398.00,407.00,387.30,5376.00,399.90,-0.90
137,MHNL,228.00,-0.87,226.00,234.00,225.00,6628.00,230.00,-2.00
138,MKCL,808.00,1.01,791.00,818.00,786.10,4714.00,799.90,8.10
139,MKHC,308.00,1.32,310.00,311.00,303.00,13420.00,304.00,4.00
140,MKHL,425.00,0.97,420.90,442.00,420.90,50549.00,420.90,4.10
141,MKJC,425.00,1.67,426.00,433.00,421.00,2788.00,418.00,7.00
142,MKLB,1021.00,-4.01,1059.00,1070.00,1015.00,4216.00,1063.60,-42.60
143,MLBBL,1182.00,-2.31,1232.00,1232.00,1176.00,4947.00,1210.00,-28.00
144,MLBL,326.00,-0.24,332.00,332.00,319.00,39040.00,326.80,-0.80
145,MLBS,1269.00,-0.35,1248.10,1298.90,1240.00,4113.00,1273.50,-4.50
146,MLBSL,1735.00,-0.22,1740.00,1759.90,1710.10,605.00,1738.90,-3.90
147,MMF1,7.23,0.14,7.36,7.45,7.08,9210.00,7.22,0.01
148,MMKJL,456.90,4.08,430.30,457.80,430.30,48791.00,439.00,17.90
149,MNBBL,345.30,0.09,344.00,349.80,343.00,19906.00,345.00,0.30
150,MPFL,460.00,1.77,460.00,466.00,451.10,91616.00,452.00,8.00
151,MSHL,618.00,-0.03,606.10,630.50,594.00,1964.00,618.20,-0.20
152,MSLB,1223.00,-3.32,1241.00,1250.00,1191.00,713.00,1265.00,-42.00
153,NABBC,457.90,5.75,424.40,468.00,424.40,33333.00,433.00,24.90
154,NABIL,422.70,-0.42,428.00,428.00,419.00,40811.00,424.50,-1.80
155,NADEP,781.00,-2.25,783.10,800.00,762.00,20920.00,799.00,-18.00
156,NBF2,7.99,0.25,8.10,8.10,7.89,38800.00,7.97,0.02
157,NBF3,7.35,2.51,7.05,7.35,7.05,8300.00,7.17,0.18
158,NBL,208.00,5.91,196.00,208.00,195.10,42639.00,196.40,11.60
159,NBLD82,1035.00,1.98,1034.90,1035.00,1034.90,40.00,1014.90,20.10
160,NBLD85,994.50,1.99,994.50,994.50,994.50,100.00,975.10,19.40
161,NBLD87,983.20,-1.19,983.20,983.20,983.20,29.00,995.00,-11.80
162,NCCD86,1010.00,0.20,1010.00,1010.00,1010.00,50.00,1008.00,2.00
163,NESDO,1810.50,1.89,1778.00,1833.00,1778.00,3707.00,1777.00,33.50
164,NFS,548.00,2.81,534.00,560.00,534.00,309663.00,533.00,15.00
165,NGPL,298.30,-1.36,303.00,304.90,298.30,89158.00,302.40,-4.10
166,NHDL,428.00,0.71,416.50,433.50,410.00,5627.00,425.00,3.00
167,NHPC,142.90,0.21,144.00,144.40,141.20,26075.00,142.60,0.30
168,NIBD2082,1091.00,1.96,1089.00,1091.00,1089.00,25.00,1070.00,21.00
169,NIBLGF,7.90,-1.00,7.86,7.90,7.86,800.00,7.98,-0.08
170,NIBSF2,7.95,1.27,7.70,7.95,7.70,900.00,7.85,0.10
171,NICA,350.00,0.00,345.00,352.80,345.00,29902.00,350.00,0.00
172,NICAD8182,1000.00,0.00,1000.00,1000.00,1000.00,160.00,1000.00,0.00
173,NICAD8283,1105.00,-1.78,1105.00,1105.00,1105.00,130.00,1125.00,-20.00
174,NICAD85/86,1015.50,0.04,1010.10,1020.00,1010.10,210.00,1015.10,0.40
175,NICBF,8.75,2.82,8.49,8.75,8.49,100200.00,8.51,0.24
176,NICFC,8.52,0.83,8.46,8.60,8.46,2500.00,8.45,0.07
177,NICGF,9.40,-1.67,9.40,9.40,9.40,1500.00,9.56,-0.16
178,NICGF2,7.76,-2.14,7.78,7.90,7.71,6020.00,7.93,-0.17
179,NICL,815.00,0.62,811.00,818.90,806.20,18227.00,810.00,5.00
180,NICLBSL,658.70,-1.24,678.00,678.00,658.30,21829.00,667.00,-8.30
181,NICSF,8.64,1.05,8.45,8.68,8.45,16000.00,8.55,0.09
182,NIFRA,192.00,0.00,191.70,193.50,191.00,49786.00,192.00,0.00
183,NIL,790.00,1.04,787.00,795.00,783.00,2833.00,781.90,8.10
184,NIMB,150.00,1.01,149.90,150.10,147.40,49388.00,148.50,1.50
185,NIMBPO,127.10,-1.47,126.50,129.00,126.50,2990.00,129.00,-1.90
186,NLG,745.40,-1.25,762.90,762.90,745.40,2896.00,754.80,-9.40
187,NLIC,569.10,-0.85,572.10,574.20,568.00,19619.00,574.00,-4.90
188,NLICL,533.80,0.53,533.10,540.00,532.00,19757.00,531.00,2.80
189,NMB,169.70,-0.47,169.90,171.00,168.60,16448.00,170.50,-0.80
190,NMB50,9.30,-3.73,9.47,9.47,9.30,6500.00,9.66,-0.36
191,NMBMF,660.00,-3.51,675.00,679.00,656.00,20805.00,684.00,-24.00
192,NMFBS,1272.00,-2.08,1274.00,1299.40,1241.00,4212.00,1299.00,-27.00
193,NRIC,678.00,0.37,687.90,687.90,675.00,11556.00,675.50,2.50
194,NRM,340.00,-1.31,339.20,345.00,339.00,16477.00,344.50,-4.50
195,NRN,487.20,-0.57,490.00,496.00,483.00,11269.00,490.00,-2.80
196,NSIF2,9.30,0.54,9.09,9.30,9.07,6100.00,9.25,0.05
197,NTC,807.00,-0.12,822.90,822.90,806.00,12325.00,808.00,-1.00
198,NUBL,670.00,-0.89,683.00,689.60,662.60,14540.00,676.00,-6.00
199,NWCL,724.00,2.27,700.00,734.40,700.00,11953.00,707.90,16.10
200,NYADI,282.00,-1.40,284.00,289.60,278.40,6865.00,286.00,-4.00
201,OHL,769.00,8.46,708.00,774.00,708.00,17660.00,709.00,60.00
202,PBD88,1022.00,-0.49,1025.00,1025.00,1022.00,150.00,1027.00,-5.00
203,PBLD84,1045.00,1.95,1037.70,1045.00,1037.70,350.00,1025.00,20.00
204,PCBL,191.00,-0.52,189.00,192.00,189.00,22547.00,192.00,-1.00
205,PFL,665.00,2.15,651.00,665.00,638.00,147995.00,651.00,14.00
206,PHCL,284.90,1.03,278.10,285.00,278.10,9664.00,282.00,2.90
207,PMHPL,222.00,2.07,221.00,225.40,217.00,3309.00,217.50,4.50
208,PMLI,500.00,1.11,503.90,510.00,492.00,7474.00,494.50,5.50
209,PPCL,223.90,-0.58,229.70,233.80,223.90,5046.00,225.20,-1.30
210,PPL,511.00,-2.48,527.00,527.00,506.20,30103.00,524.00,-13.00
211,PRIN,775.20,0.28,780.00,785.00,764.00,7595.00,773.00,2.20
212,PROFL,343.50,-1.18,352.90,355.00,343.20,44022.00,347.60,-4.10
213,PRSF,8.39,1.33,8.44,8.44,8.34,900.00,8.28,0.11
214,PRVU,134.00,0.45,134.90,134.90,133.40,52196.00,133.40,0.60
215,PSF,8.69,0.23,8.51,8.70,8.51,8100.00,8.67,0.02
216,RADHI,229.90,1.73,229.00,231.00,225.10,30741.00,226.00,3.90
217,RAWA,476.30,1.99,476.30,495.00,452.20,4684.00,467.00,9.30
218,RBCL,12836.00,0.28,12800.00,12939.00,12800.00,120.00,12800.00,36.00
219,RBCLPO,10190.00,-1.91,10321.00,10321.00,10190.00,110.00,10388.00,-198.00
220,RFPL,335.70,-0.97,344.00,344.00,327.50,18234.00,339.00,-3.30
221,RHGCL,331.10,-0.96,327.70,346.00,325.00,26727.00,334.30,-3.20
222,RHPL,265.00,0.76,261.10,267.00,261.10,15267.00,263.00,2.00
223,RIDI,162.90,1.18,163.00,164.00,161.20,19847.00,161.00,1.90
224,RLFL,388.70,1.22,390.00,393.00,382.00,95117.00,384.00,4.70
225,RMF1,7.87,3.55,7.46,7.87,7.46,2400.00,7.60,0.27
226,RMF2,8.36,-3.02,8.70,8.70,8.20,5000.00,8.62,-0.26
227,RNLI,421.00,-0.43,428.00,428.00,418.00,31430.00,422.80,-1.80
228,RSDC,758.40,-0.21,760.00,813.50,750.00,85552.00,760.00,-1.60
229,RURU,502.70,0.00,510.00,512.70,500.30,11650.00,502.70,0.00
230,SABSL,840.00,-4.76,871.00,871.00,840.00,9306.00,882.00,-42.00
231,SADBL,311.90,1.60,304.90,314.90,304.90,65723.00,307.00,4.90
232,SAEF,9.90,1.02,9.93,9.93,9.76,38470.00,9.80,0.10
233,SAGF,8.67,0.12,8.65,8.82,8.65,1900.00,8.66,0.01
234,SAHAS,484.00,-0.80,497.60,497.60,476.50,3501.00,487.90,-3.90
235,SALICO,634.50,0.40,632.00,634.50,624.00,10538.00,632.00,2.50
236,SAMAJ,1958.00,4.09,1918.60,2035.00,1856.10,1100.00,1881.00,77.00
237,SANIMA,232.00,-0.09,236.00,236.00,230.00,35084.00,232.20,-0.20
238,SAPDBL,328.00,2.82,316.00,333.00,316.00,84052.00,319.00,9.00
239,SARBTM,745.20,-0.64,750.00,760.00,745.20,26605.00,750.00,-4.80
240,SBCF,7.75,-0.26,7.63,7.75,7.63,900.00,7.77,-0.02
241,SBI,270.20,-1.39,277.00,277.00,270.00,5426.00,274.00,-3.80
242,SBID89,984.00,0.20,984.00,984.00,984.00,25.00,982.00,2.00
243,SBL,220.00,1.43,217.00,221.30,215.60,39899.00,216.90,3.10
244,SBLD2082,1071.00,2.33,1050.00,1071.00,1050.00,490.00,1046.60,24.40
245,SBLD89,1092.70,0.98,1092.70,1092.70,1092.70,10.00,1082.10,10.60
246,SCB,515.00,0.19,523.00,523.00,512.00,9670.00,514.00,1.00
247,SCBD,1030.80,-0.88,1030.10,1030.80,1030.00,105.00,1040.00,-9.20
248,SDLBSL,910.00,-4.21,968.70,968.70,899.00,11903.00,950.00,-40.00
249,SEF,7.84,-2.00,7.84,7.84,7.84,6000.00,8.00,-0.16
250,SFCL,351.00,-0.28,358.50,363.00,351.00,68157.00,352.00,-1.00
251,SFEF,7.80,1.30,7.80,7.80,7.80,600.00,7.70,0.10
252,SFMF,9.73,-1.72,9.80,9.80,9.72,9925.00,9.90,-0.17
253,SGHC,315.00,0.32,314.00,319.00,311.20,5260.00,314.00,1.00
254,SGIC,529.00,1.15,520.00,530.00,520.00,18252.00,523.00,6.00
255,SHEL,149.00,1.02,150.00,150.00,147.00,53223.00,147.50,1.50
256,SHINE,393.40,2.45,391.60,398.60,381.10,86508.00,384.00,9.40
257,SHIVM,496.00,0.00,504.00,504.00,494.00,82110.00,496.00,0.00
258,SHL,461.00,7.41,437.70,464.50,434.00,318419.00,429.20,31.80
259,SHLB,1248.00,-1.58,1270.00,1270.00,1227.00,3926.00,1268.00,-20.00
260,SHPC,324.00,0.09,329.00,329.00,321.00,35656.00,323.70,0.30
261,SICL,680.00,0.00,693.60,693.60,675.10,7151.00,680.00,0.00
262,SIFC,439.00,0.97,443.00,448.00,431.00,82138.00,434.80,4.20
263,SIFCPO,228.00,0.00,228.00,228.00,228.00,23065.00,228.00,0.00
264,SIGS2,7.90,-1.25,7.90,7.90,7.90,10910.00,8.00,-0.10
265,SIGS3,8.90,0.91,8.96,8.96,8.90,200.00,8.82,0.08
266,SIKLES,492.10,-1.58,490.00,510.00,490.00,1285.00,500.00,-7.90
267,SINDU,392.00,2.89,388.60,392.70,379.30,32000.00,381.00,11.00
268,SJCL,264.50,-0.19,260.20,270.00,260.20,7060.00,265.00,-0.50
269,SJLIC,401.90,0.00,402.00,406.00,400.00,25256.00,401.90,0.00
270,SKBBL,809.00,1.13,814.00,818.70,808.00,18253.00,800.00,9.00
271,SLBBL,733.00,-0.68,752.70,760.00,730.00,30827.00,738.00,-5.00
272,SLCF,8.00,0.63,7.96,8.00,7.96,43110.00,7.95,0.05
273,SMATA,930.00,-3.53,945.00,981.00,915.10,15032.00,964.00,-34.00
274,SMB,1440.00,1.27,1450.00,1450.00,1395.00,599.00,1422.00,18.00
275,SMFBS,1242.10,-3.94,1280.00,1290.00,1242.10,3376.00,1293.00,-50.90
276,SMH,645.20,-1.48,650.00,655.00,645.00,2933.00,654.90,-9.70
277,SMHL,426.50,-1.95,435.00,440.00,426.50,7762.00,435.00,-8.50
278,SMJC,351.40,-1.29,360.00,360.80,351.40,16026.00,356.00,-4.60
279,SNLI,455.00,-3.38,475.00,475.00,453.00,45891.00,470.92,-15.92
280,SONA,435.70,1.09,432.00,442.30,432.00,80706.00,431.00,4.70
281,SPC,470.00,-1.05,466.10,483.00,466.00,2835.00,475.00,-5.00
282,SPDL,228.00,0.00,232.50,232.50,225.00,28482.00,228.00,0.00
283,SPHL,453.20,-0.98,450.00,457.00,449.50,1263.00,457.70,-4.50
284,SPIL,739.00,-0.14,732.00,749.00,732.00,11245.00,740.00,-1.00
285,SPL,646.00,-0.57,641.00,653.00,640.00,1697.00,649.70,-3.70
286,SRD80,1030.00,-1.81,1030.00,1030.00,1030.00,185.00,1049.00,-19.00
287,SRLI,426.00,-0.44,423.10,428.00,423.00,11498.00,427.90,-1.90
288,SSHL,158.50,-0.06,156.00,163.00,156.00,14760.00,158.60,-0.10
289,STC,4275.00,0.05,4289.00,4289.00,4245.00,1319.00,4273.00,2.00
290,SWBBL,772.40,-0.97,792.00,792.00,770.00,14695.00,780.00,-7.60
291,SWMF,802.00,-2.67,831.90,831.90,802.00,16209.00,824.00,-22.00
292,TAMOR,355.00,0.57,350.00,360.00,350.00,20790.00,353.00,2.00
293,TPC,466.00,-1.65,465.00,474.00,456.00,1324.00,473.80,-7.80
294,TRH,747.00,6.56,715.00,761.90,715.00,38508.00,701.00,46.00
295,TSHL,520.00,0.58,506.70,536.00,499.90,5028.00,517.00,3.00
296,TVCL,450.00,1.15,442.10,453.80,442.10,8075.00,444.90,5.10
297,UAIL,534.00,-0.19,545.70,545.70,528.00,10547.00,535.00,-1.00
298,UHEWA,385.00,-0.52,379.30,402.00,372.00,14669.00,387.00,-2.00
299,ULBSL,1479.00,-0.87,1470.00,1489.00,1436.00,1607.00,1492.00,-13.00
300,ULHC,320.60,-0.12,320.00,328.00,320.00,11744.00,321.00,-0.40
301,UMHL,226.10,-0.40,226.00,231.00,225.00,14350.00,227.00,-0.90
302,UMRH,330.00,0.00,336.00,336.00,326.30,18302.00,330.00,0.00
303,UNHPL,216.00,-0.23,220.00,220.00,214.20,21886.00,216.50,-0.50
304,UNL,38400.00,-0.80,39000.00,39000.00,38400.00,20.00,38710.00,-310.00
305,UNLB,1684.00,-1.81,1690.00,1690.00,1660.00,930.00,1715.00,-31.00
306,UPCL,189.00,0.53,190.00,190.00,186.00,39719.00,188.00,1.00
307,UPPER,160.90,0.19,163.80,163.80,160.00,98917.00,160.60,0.30
308,USHEC,371.90,1.09,362.30,371.90,362.30,4309.00,367.90,4.00
309,USHL,451.10,-0.27,452.00,455.00,450.00,2334.00,452.30,-1.20
310,USLB,2012.00,-0.05,2010.00,2050.00,2005.00,3968.00,2013.00,-1.00
311,VLBS,847.90,-1.52,875.00,875.00,826.10,10412.00,861.00,-13.10
312,VLUCL,447.30,-0.31,450.00,455.00,447.10,6766.00,448.70,-1.40
313,WNLB,1330.00,-4.25,1361.30,1385.00,1320.00,970.00,1389.00,-59.00
